window,split,regime,n_decisions,n_buy,n_sell,n_hold,share_forecast_negative,min_forecast_pct,mean_forecast_pct,mean_realised_pct
2018_q4_selloff,train,"Q4 2018 selloff, -19.8%",32,2,10,20,0.53125,-1.9596457481384277,-0.23046284914016724,-0.43227209189238003
2020_covid_crash,train,"COVID crash, -33.9%",19,0,4,15,0.42105263157894735,-1.5093088150024414,0.5075310405931974,-0.33778741882180346
2022_h1,train,first half of the 2022 bear,39,2,2,35,0.15384615384615385,-1.4437079429626465,0.28445002360221666,-1.3756128671587293
2022_h2,validation,second half of the 2022 bear,40,5,0,35,0.0,0.024425983428955078,0.5931264162063599,0.02461119278840851
2023_q1,validation,end of the validation span,19,2,0,17,0.0,0.17684698104858398,0.39105289860775594,0.4006976811062657
2023_24_test,test,the shipped test window,72,12,0,60,0.1527777777777778,-0.18788576126098633,0.1868942545519935,0.5576241641613534
