bm25_weight,kg_weight,recall@k,precision@5,mrr,ndcg@k
0.8,0.25,0.13720821661998134,0.1333333333333333,0.4538515406162465,0.17559202772045604
0.3,0.25,0.14058512293806413,0.1352941176470588,0.4464285714285714,0.17531697568381013
0.45,0.5,0.13742608154372862,0.14313725490196075,0.45351307189542484,0.174491908246497
0.6,0.25,0.1342670401493931,0.13137254901960782,0.45615079365079364,0.1742891695393478
0.45,0.25,0.13535636476812948,0.13137254901960782,0.4525560224089636,0.17423949876709777
0.6,0.5,0.1354652972300031,0.1411764705882353,0.45622082166199807,0.1740918676295728
0.45,0.0,0.13132586367880483,0.12941176470588234,0.4558940242763772,0.17360290655037908
0.6,0.0,0.1303454715219421,0.12941176470588234,0.45892857142857146,0.1733189423927831
0.6,0.75,0.13325941487706194,0.14313725490196078,0.45777310924369746,0.17250883258483257
0.8,0.0,0.1303454715219421,0.13137254901960782,0.45239262371615313,0.17228406401228957
0.45,0.75,0.13522019919078745,0.14313725490196078,0.44911297852474324,0.17212431686793855
0.8,0.5,0.13154372860255215,0.14117647058823526,0.4508442265795207,0.17210751816657488
0.3,0.0,0.13426704014939309,0.13137254901960782,0.4424408652349829,0.1719596602989754
1.0,0.0,0.12642390289449112,0.1333333333333333,0.45888577653283535,0.17167987752453784
0.8,1.0,0.1303182384064737,0.14313725490196078,0.45247432306255836,0.17145066616086532
0.8,0.75,0.12933784624961095,0.14313725490196078,0.45101929660753187,0.17093836567216877
0.45,1.0,0.13423980703392469,0.1411764705882353,0.44562713974478685,0.17023950090331197
0.15,0.0,0.13377684407096171,0.12941176470588234,0.4373871770930594,0.16976999127359044
0.3,0.5,0.13840647370059136,0.14509803921568626,0.4362745098039216,0.16969030188243905
0.6,1.0,0.13031823840647372,0.1411764705882353,0.4487317149081855,0.16952913904092173
1.0,0.25,0.12642390289449112,0.13137254901960782,0.45152116402116405,0.16933359546688478
1.0,0.75,0.12824852163087455,0.1372549019607843,0.44535480859010274,0.16879905239601511
0.15,0.25,0.13862433862433862,0.1333333333333333,0.4283730158730159,0.16830363310159863
1.0,1.0,0.12726812947401178,0.1372549019607843,0.4475062247121071,0.1682902821976779
1.0,0.5,0.12740429505135387,0.1333333333333333,0.44658029878618116,0.168177410694946
0.3,0.75,0.13522019919078745,0.14509803921568626,0.410006224712107,0.161918610413799
0.15,0.5,0.1374260815437286,0.13921568627450978,0.40345860566448805,0.1610943698210479
0.15,0.75,0.13522019919078745,0.1333333333333333,0.40550108932461876,0.15945589522445242
0.3,1.0,0.1322790227201992,0.1411764705882353,0.40069249922191097,0.15761627452265886
0.15,1.0,0.13325941487706194,0.13333333333333333,0.40183629007158417,0.15719685337105735
0.0,0.0,0.12985527544351075,0.12745098039215685,0.4045323685029567,0.15351147702651086
0.0,0.25,0.13775287892934954,0.1333333333333333,0.3747665732959851,0.1517761226963194
0.0,0.5,0.13448490507314037,0.13137254901960782,0.36121615312791777,0.14731979901158992
0.0,0.75,0.1322790227201992,0.13333333333333333,0.3502801120448179,0.14434021220209126
0.0,1.0,0.1303182384064737,0.12745098039215685,0.3423825085589791,0.1389303320453769
