fold,date,close,directive,position_pct,conviction,agreement,trap_flagged,forecast_7d_pct,signal_to_noise,volatility_regime,sentiment,fear_greed,realised_7d_pct,forecast_correct,strategy_return_pct
covid_2020,2020-01-02,3257.85009765625,BUY,57.0,0.95,sentiment_neutral,False,0.7025718688964844,0.6503291298694205,low,-0.0778900533914566,87.3,0.9251479905699966,True,0.5273343546248981
covid_2020,2020-01-07,3237.179931640625,BUY,57.0,0.95,sentiment_neutral,False,0.5035281181335449,0.4395454008167127,low,0.1716407984495163,96.8,2.4300935990000383,True,1.3851533514300216
covid_2020,2020-01-10,3265.35009765625,BUY,47.2,0.786,sentiment_neutral,False,0.30094385147094727,0.25470580445936475,low,0.22824472188949585,98.0,1.712476804953944,True,0.8082890519382616
covid_2020,2020-01-15,3289.2900390625,BUY,42.1,0.701,sentiment_neutral,False,0.22922754287719727,0.20529489265684858,low,0.02424069680273533,99.8,-1.3978710992866183,False,-0.5885037327996664
covid_2020,2020-01-21,3320.7900390625,BUY,47.1,0.784,sentiment_neutral,False,0.30524730682373047,0.2537896394433123,low,-0.06765341013669968,99.1,-1.1244091006020085,False,-0.5295966863835461
covid_2020,2020-01-24,3295.469970703125,HOLD,0.0,0.5,sentiment_neutral,False,0.09338855743408203,0.06953910109087888,normal,-0.02539277821779251,96.5,0.06431360375103168,True,0.0
covid_2020,2020-01-29,3273.39990234375,HOLD,0.0,0.5,aligned,False,0.07761716842651367,0.045393454056062585,normal,0.44295477867126465,85.6,1.6455197744102534,True,0.0
covid_2020,2020-02-03,3248.919921875,HOLD,0.0,0.5,sentiment_neutral,False,0.10912418365478516,0.055266487279199576,normal,0.206939697265625,90.7,3.93903505358022,True,0.0
covid_2020,2020-02-06,3345.780029296875,HOLD,0.0,0.5,sentiment_neutral,False,0.12391805648803711,0.055923617604958134,normal,-0.1840338110923767,76.1,0.7298946654668015,True,0.0
covid_2020,2020-02-11,3357.75,HOLD,0.0,0.5,sentiment_neutral,False,0.008499622344970703,0.003832239671737962,normal,0.002642539096996188,70.3,-0.597417951898116,False,-0.0
covid_2020,2020-02-14,3380.159912109375,HOLD,0.0,0.5,sentiment_neutral,False,0.24700164794921875,0.1123635878023377,normal,-0.055628154426813126,67.5,-8.124777348200318,False,-0.0
covid_2020,2020-02-20,3373.22998046875,HOLD,0.0,0.5,conflicting,True,0.2227187156677246,0.10020461120867184,normal,-0.4075388014316559,54.6,-8.762522104464487,False,-0.0
