date,close,directive,position_pct,conviction,agreement,trap_flagged,forecast_7d_pct,signal_to_noise,volatility_regime,sentiment,fear_greed,realised_7d_pct,forecast_correct,strategy_return_pct
2023-04-03,4124.509765625,HOLD,0.0,0.5,sentiment_neutral,False,0.4190206527709961,0.13683514270106845,normal,-0.12703152000904083,36.503683858004024,0.5249959588915942,True,0.0
2023-04-06,4105.02001953125,HOLD,0.0,0.5,sentiment_neutral,False,0.22585391998291016,0.08493363500188303,low,-0.1632954627275467,31.34628265237776,1.2070548659899316,True,0.0
2023-04-12,4091.949951171875,HOLD,0.0,0.5,sentiment_neutral,False,0.009632110595703125,0.004137748703790327,low,-0.060274552553892136,45.277963831212325,1.0107731820383492,True,0.0
2023-04-17,4151.31982421875,HOLD,0.0,0.5,sentiment_neutral,False,-0.11628866195678711,0.05754884612248015,low,0.057286325842142105,67.84996651038178,-2.3231515219134025,True,-0.0
2023-04-20,4129.7900390625,HOLD,0.0,0.5,aligned,False,-0.11007189750671387,0.06959840454357526,low,-0.3173917233943939,14.266577361018085,0.9178574381081717,False,0.0
2023-04-25,4071.6298828125,HOLD,0.0,0.5,sentiment_neutral,False,0.03510713577270508,0.018493085880979688,low,0.0,56.46349631614199,-0.25599680264427604,False,-0.0
2023-04-28,4169.47998046875,HOLD,0.0,0.5,sentiment_neutral,False,0.18402338027954102,0.08800230607002785,low,0.0,56.46349631614199,-1.2139655321336207,False,-0.0
2023-05-03,4090.75,HOLD,0.0,0.5,conflicting,True,0.38030147552490234,0.18390680875315052,low,-0.3355500400066376,13.127930341594105,0.8114656225409078,True,0.0
2023-05-08,4138.1201171875,HOLD,0.0,0.5,sentiment_neutral,False,0.2613663673400879,0.11021822842637741,low,0.04231662303209305,65.10381781647689,0.4977755434179443,True,0.0
2023-05-11,4130.6201171875,HOLD,0.0,0.5,sentiment_neutral,False,0.10544061660766602,0.046740388447873954,low,-0.22561554610729218,22.906898861352982,1.4900648893885204,True,0.0
2023-05-16,4109.89990234375,HOLD,0.0,0.5,sentiment_neutral,False,0.20647048950195312,0.09051407506790879,low,0.0852326974272728,72.6724715338245,1.0017995117348022,True,0.0
