fold,regime,train_end,val_end,test_range,train_windows,test_windows,rmse_return,r2_return,directional_acc_h7,skill_vs_naive_pct,n_decisions,n_buy,n_sell,n_hold,traded_hit_rate,mean_strategy_return_pct,buy_and_hold_mean_7d_pct,share_forecast_negative,mean_forecast_pct,mean_realised_pct,decision_day_accuracy,always_up_accuracy,edge_over_always_up
covid_2020,"COVID crash and recovery, -33.9% peak-to-trough",2019-06-30,2019-12-31,2020-01-02 → 2020-12-31,372,253,0.03735658689102151,0.0021277572959661484,0.6047430830039525,0.34373295097298584,82,30,0,52,0.7333333333333333,0.1902198946561228,0.7820376350000234,0.12195121951219512,0.40281981956668017,0.7820376350000234,0.6097560975609756,0.6829268292682927,-0.07317073170731714
bull_2021,"calm bull market, +28.8%",2020-06-30,2020-12-31,2021-01-04 → 2021-12-31,371,252,0.013984952800151624,0.04309344291687012,0.6706349206349206,5.933300355166759,82,61,0,21,0.7049180327868853,0.3155421549658242,0.6491256860526965,0.036585365853658534,0.7354135193475863,0.6491256860526965,0.6951219512195121,0.6829268292682927,0.012195121951219412
bear_2022,"bear market, -20.0% with a -25.4% drawdown",2021-06-30,2021-12-31,2022-01-03 → 2022-12-30,370,251,0.03429123353886174,-0.3735934793949127,0.44621513944223107,-16.314643171299736,82,56,0,26,0.4642857142857143,-0.21148995211785124,-0.5499819579247348,0.012195121951219513,1.9203959441766507,-0.5499819579247348,0.47560975609756095,0.4634146341463415,0.012195121951219468
bull_2023,the shipped split: 11-month bull run,2022-06-30,2023-03-31,2023-04-03 → 2024-02-21,402,223,0.014797796310083,-0.00011928335152333602,0.6771300448430493,3.9427775603106063,75,34,0,41,0.7058823529411765,0.1414126311225224,0.6062232278261751,0.0,0.3627443313598633,0.6062232278261751,0.68,0.68,0.0
